category,product_name,product_url
Exfoliants,"Anua – Heartleaf LHA Moisture Peeling Gel, 120ml",https://qudobeauty.com/product/anua-heartleaf-lha-moisture-peeling-gel-120ml/
Cleansing & Makeup Removal,"Anua – Rice Enzyme Brightening Cleansing Powder, 40g",https://qudobeauty.com/product/anua-rice-enzyme-brightening-cleansing-powder-40g/
Exfoliants,Anua – Heartleaf 77% Clear Toner Pads – 160ml,https://qudobeauty.com/product/anua-heartleaf-77-clear-toner-pads-160ml/
Cleansing & Makeup Removal,"Anua – Heartleaf Quercetinol Pore Deep Cleansing Foam, 150 ml",https://qudobeauty.com/product/anua-heartleaf-quercetinol-pore-deep-cleansing-foam-150-ml/
Cleansing & Makeup Removal,"APLB – Glutathione Niacinamide Facial Cleanser, 80ml",https://qudobeauty.com/product/aplb-glutathione-niacinamide-facial-cleanser-80-ml/
Cleansing & Makeup Removal,"AXIS-Y – Quinoa One Step Balanced Gel Cleanser, 180ml",https://qudobeauty.com/product/axis-y-quinoa-one-step-balanced-gel-cleanser-180ml/
Cleansing & Makeup Removal,"AXIS-Y – Biome Resetting Moringa Cleansing Oil, 200ml",https://qudobeauty.com/product/axis-y-gesicht-reinigung-biome-resetting-moringa-cleansing-oil-200-ml/
Exfoliants,"Beauty of Joseon – Red Bean Water Gel, 100ml",https://qudobeauty.com/product/beauty-of-joseon-red-bean-water-gel-100-ml/
Cleansing & Makeup Removal,"Beauty of Joseon – Radiance Cleansing Balm, 100ml",https://qudobeauty.com/product/beauty-of-joseon-radiance-cleansing-balm-100-ml/
Cleansing & Makeup Removal,"Beauty of Joseon – Green Plum Refreshing Cleanser, 100ml",https://qudobeauty.com/product/beauty-of-joseon-green-plum-refreshing-cleanser-100ml/
Eye Cream,"AXIS-Y – Vegan Collagen Eye Serum, 10ml",https://qudobeauty.com/product/axis-y-vegan-collagen-eye-serum-10ml/
Eye Cream,"Beauty of Joseon – Light On Serum: Centella + Vita C, 30ml",https://qudobeauty.com/product/beauty-of-joseon-light-on-serum-centella-vita-c-30ml/
Eye Cream,"Dr. Althea – To Be Youthful Eye Serum, 25 ml",https://qudobeauty.com/product/dr-althea-to-be-youthful-eye-serum-25-ml/
